GDP,EC,COAL,OIL,GINI,EMISSION
59554854575,2.22,1.49,12.6,33.4,167.5
45865462034,2.29,1.48,14.1,33.33,170
50134942203,2.36,1.51,14.6,33.26,174.5
53085455871,2.52,1.56,16.3,33.18,182.5
58447995017,2.79,1.66,19.6,33.11,197.5
62422483055,2.73,1.57,19.5,33.04,189.9
67350988021,2.84,1.59,20.5,32.97,206.6
71463193830,2.99,1.68,22.1,32.89,218.6
85515269586,3.05,1.66,23.3,32.82,219
99525899116,3.23,1.88,22.8,32.75,238.6
98472796457,3.47,2.02,23.3,32.68,253.4
1.03E+11,3.64,2.1,24.6,32.61,263.8
1.21E+11,3.85,2.2,26.4,32.53,277.6
1.37E+11,4,2.13,28.7,32.46,276.6
1.53E+11,4.22,2.26,31,32.39,295.9
1.86E+11,4.35,2.37,31.6,32.32,310.3
1.93E+11,4.82,2.67,34,32.24,341
2.01E+11,4.78,2.64,35.4,32.17,342.5
2.18E+11,5.03,2.8,37.2,32.1,368.7
2.12E+11,5.37,2.95,39.9,32.23,392.7
2.33E+11,5.67,3.09,43.3,32.35,416.6
2.49E+11,6.07,3.32,45.5,32.48,443.1
2.79E+11,6.46,3.64,47,32.6,481.2
2.97E+11,7.03,3.91,51.5,32.45,518.9
2.96E+11,7.67,4.25,55.8,32.3,568.2
3.21E+11,8.24,4.59,57.9,32.15,613.1
2.70E+11,8.69,4.89,58.9,32,646.1
2.88E+11,9.14,5.18,62.1,31.85,677.7
2.79E+11,9.37,5.36,62.7,31.7,699
3.27E+11,9.87,5.53,67.4,31.95,728.7
3.60E+11,10.62,5.87,75.2,32.19,778.6
3.93E+11,11.05,6.04,81.1,32.44,817.3
4.16E+11,11.66,6.32,86.5,32.68,859.8
4.21E+11,12.36,6.53,92.5,32.93,900.5
4.59E+11,12.72,6.47,101.6,33.17,919.1
4.68E+11,13.37,6.88,106.7,33.42,961.3
4.85E+11,13.42,6.94,107.3,33.66,970.1
5.15E+11,13.86,7.25,109.8,33.91,1011.8
6.08E+11,14.36,7.59,112,34.15,1052
7.09E+11,15.57,8.08,118.4,34.4,1114.2
8.20E+11,16.5,8.84,120.9,34.6,1202.1
9.40E+11,17.37,9.18,127.9,34.8,1253.8
1.22E+12,18.85,10.05,136.7,35,1364.9
1.20E+12,19.95,10.87,143.5,35.2,1463.8
1.34E+12,21.45,11.76,151.4,35.4,1590.3
1.68E+12,22.48,12.16,154,35.55,1652.1
1.82E+12,23.8,12.75,161.4,35.7,1730
1.83E+12,25.04,13.82,172,35.6,1844.5
1.86E+12,26.02,14.79,173.8,35.5,1930.2
2.04E+12,27.79,16.23,179.1,35.4,2083.8
2.10E+12,28.68,16.55,193.9,35.3,2151.9
2.29E+12,29.95,16.84,214.3,35.2,2243.2
2.65E+12,31.14,17.44,220.7,35.1,2324.7
2.70E+12,33.14,18.59,229,35,2449.4
2.87E+12,33.89,18.6,236.5,34.9,2471.9
2.66E+12,31.98,17.54,213.1,34.8,2302.3
70436266147,5.52,4.79,11,34.7,488.5
76720285970,6,5.12,14.1,34.6,530.3
72881631327,5.39,4.56,13.9,34.5,475.9
70846535056,5.45,4.52,15.2,34.4,476.7
79705906247,6.63,5.46,20.4,34.3,582.5
92602973434,8.49,6.95,28.2,34.2,748.5
99800958648,10.06,8.01,38.4,34.1,881.7
1.14E+11,10.85,8.47,44.2,34,945.4
1.39E+11,11.45,8.58,53.8,33.9,987
1.44E+11,11.81,8.49,61.9,33.8,1006.8
1.63E+11,13.22,9.57,68.3,33.7,1131.3
