GDP,EC,Co2 Emission,Coal_consumption,Oil consumption,GiNi
59554854575.0,2.22,167.5,1.49,12.6,33.4
45865462034.0,2.29,170.0,1.48,14.1,33.327777777777776
50134942203.0,2.36,174.5,1.51,14.6,33.25555555555555
53085455871.0,2.52,182.5,1.56,16.3,33.18333333333333
58447995017.0,2.79,197.5,1.66,19.6,33.11111111111111
62422483055.0,2.73,189.9,1.57,19.5,33.03888888888889
67350988021.0,2.84,206.6,1.59,20.5,32.96666666666667
71463193830.0,2.99,218.6,1.68,22.1,32.894444444444446
85515269586.0,3.05,219.0,1.66,23.3,32.82222222222222
99525899116.0,3.23,238.6,1.88,22.8,32.75
98472796457.0,3.47,253.4,2.02,23.3,32.67777777777778
103000000000.0,3.64,263.8,2.1,24.6,32.605555555555554
121000000000.0,3.85,277.6,2.2,26.4,32.53333333333333
137000000000.0,4.0,276.6,2.13,28.7,32.46111111111111
153000000000.0,4.22,295.9,2.26,31.0,32.38888888888889
186000000000.0,4.35,310.3,2.37,31.6,32.31666666666667
193000000000.0,4.82,341.0,2.67,34.0,32.24444444444445
201000000000.0,4.78,342.5,2.64,35.4,32.172222222222224
218000000000.0,5.03,368.7,2.8,37.2,32.1
212000000000.0,5.37,392.7,2.95,39.9,32.225
233000000000.0,5.67,416.6,3.09,43.3,32.35
249000000000.0,6.07,443.1,3.32,45.5,32.475
279000000000.0,6.46,481.2,3.64,47.0,32.6
297000000000.0,7.03,518.9,3.91,51.5,32.45
296000000000.0,7.67,568.2,4.25,55.8,32.3
321000000000.0,8.24,613.1,4.59,57.9,32.15
270000000000.0,8.69,646.1,4.89,58.9,32.0
288000000000.0,9.14,677.7,5.18,62.1,31.85
279000000000.0,9.37,699.0,5.36,62.7,31.7
327000000000.0,9.87,728.7,5.53,67.4,31.945454545454545
360000000000.0,10.62,778.6,5.87,75.2,32.19090909090909
393000000000.0,11.05,817.3,6.04,81.1,32.43636363636364
416000000000.0,11.66,859.8,6.32,86.5,32.68181818181818
421000000000.0,12.36,900.5,6.53,92.5,32.92727272727273
459000000000.0,12.72,919.1,6.47,101.6,33.17272727272727
468000000000.0,13.37,961.3,6.88,106.7,33.418181818181814
485000000000.0,13.42,970.1,6.94,107.3,33.663636363636364
515000000000.0,13.86,1011.8,7.25,109.8,33.90909090909091
608000000000.0,14.36,1052.0,7.59,112.0,34.154545454545456
709000000000.0,15.57,1114.2,8.08,118.4,34.4
820000000000.0,16.5,1202.1,8.84,120.9,34.6
940000000000.0,17.37,1253.8,9.18,127.9,34.8
1220000000000.0,18.85,1364.9,10.05,136.7,35.0
1200000000000.0,19.95,1463.8,10.87,143.5,35.199999999999996
1340000000000.0,21.45,1590.3,11.76,151.4,35.4
1680000000000.0,22.48,1652.1,12.16,154.0,35.55
1820000000000.0,23.8,1730.0,12.75,161.4,35.7
1830000000000.0,25.04,1844.5,13.82,172.0,35.6
1860000000000.0,26.02,1930.2,14.79,173.8,35.5
2040000000000.0,27.79,2083.8,16.23,179.1,35.400000000000006
2100000000000.0,28.68,2151.9,16.55,193.9,35.300000000000004
2290000000000.0,29.95,2243.2,16.84,214.3,35.2
2650000000000.0,31.14,2324.7,17.44,220.7,35.1
2700000000000.0,33.14,2449.4,18.59,229.0,35.0
2870000000000.0,33.89,2471.9,18.6,236.5,34.900000000000006
2660000000000.0,31.98,2302.3,17.54,213.1,34.800000000000004
70436266147.0,5.52,488.5,4.79,11.0,34.7
76720285970.0,6.0,530.3,5.12,14.1,34.6
72881631327.0,5.39,475.9,4.56,13.9,34.5
70846535056.0,5.45,476.7,4.52,15.2,34.400000000000006
79705906247.0,6.63,582.5,5.46,20.4,34.300000000000004
92602973434.0,8.49,748.5,6.95,28.2,34.2
99800958648.0,10.06,881.7,8.01,38.4,34.1
113688000000.0,10.85,945.4,8.47,44.2,34.0
138544000000.0,11.45,987.0,8.58,53.8,33.900000000000006
144182000000.0,11.81,1006.8,8.49,61.9,33.800000000000004
163432000000.0,13.22,1131.3,9.57,68.3,33.7
153940000000.0,13.92,1183.1,9.8,78.0,33.6
174938000000.0,15.18,1293.5,10.78,82.4,33.5
149541000000.0,16.65,1418.5,11.84,91.3,33.400000000000006
178281000000.0,17.15,1458.5,12.25,91.1,33.300000000000004
191149000000.0,17.48,1471.2,12.74,86.7,33.2
195866000000.0,17.25,1448.5,12.67,82.2,33.1
205090000000.0,18.01,1512.4,13.41,81.3,33.0
230687000000.0,19.17,1607.7,14.36,83.0,32.900000000000006
259947000000.0,20.56,1733.3,15.62,86.0,32.800000000000004
309488000000.0,22.24,1833.5,17.05,89.7,32.7
300758000000.0,23.31,1916.3,17.83,95.4,32.6
272973000000.0,25.14,2061.5,19.34,101.3,32.5
312354000000.0,27.0,2210.9,20.78,108.8,32.400000000000006
347768000000.0,28.33,2309.7,21.77,113.9,32.300000000000004
360858000000.0,28.7,2323.8,22.08,112.9,32.2
383373000000.0,30.15,2455.9,23.16,121.9,32.7
426916000000.0,31.75,2581.2,24.23,132.4,33.2
444731000000.0,34.19,2787.3,25.81,145.8,33.7
564325000000.0,36.29,2938.1,27.51,148.1,34.2
734548000000.0,37.41,3028.8,27.85,160.2,34.7
863747000000.0,39.36,3177.7,29.14,175.7,35.2
961604000000.0,39.58,3166.8,28.55,192.2,36.36666666666667
1029040000000.0,39.64,3163.4,28.34,197.1,37.53333333333334
1094000000000.0,41.03,3294.4,29.16,209.3,38.7
1211350000000.0,42.45,3360.9,29.56,224.2,39.800000000000004
1339400000000.0,44.84,3523.1,31.09,229.1,40.9
1470550000000.0,48.85,3843.4,34.08,247.9,42.0
1660290000000.0,56.89,4532.1,40.62,276.3,41.63333333333333
1955350000000.0,66.55,5334.9,47.36,322.6,41.266666666666666
2285970000000.0,75.6,6098.2,55.46,327.9,40.9
2752130000000.0,82.89,6677.3,60.91,351.8,41.6
3550340000000.0,90.09,7239.8,66.33,369.2,42.3
4594310000000.0,93.45,7378.2,67.38,376.3,43.0
5101700000000.0,97.53,7713.9,70.58,391.0,43.35
6087160000000.0,104.29,8145.8,73.22,446.3,43.7
7551500000000.0,112.54,8827.2,79.71,462.4,42.4
8532230000000.0,117.05,9004.2,80.71,484.2,42.2
9570410000000.0,121.38,9247.4,82.44,505.0,39.7
10475700000000.0,124.82,9293.2,82.49,524.9,39.2
11061600000000.0,126.53,9279.7,80.94,568.0,38.6
11233300000000.0,128.63,9279.0,80.21,586.7,38.5
12310400000000.0,132.8,9466.4,80.59,614.2,37.66
13894800000000.0,137.58,9652.7,81.11,633.7,36.82
14279900000000.0,142.03,9810.5,81.79,654.3,35.98
14722700000000.0,145.46,9899.3,82.27,669.2,35.14
8086725729.0,0.07,3.8,0.01,0.9,34.3
12512460520.0,0.07,4.1,0.01,1.0,33.46
19448348073.0,0.08,4.9,0.01,1.1,32.62
10117113333.0,0.1,5.1,0.01,1.2,31.78
9651149302.0,0.1,5.3,0.01,1.2,30.939999999999998
13281767143.0,0.11,5.8,0.01,1.3,30.1
15565480322.0,0.12,6.4,0.01,1.4,29.259999999999998
18138049096.0,0.13,7.3,0.01,1.6,28.419999999999998
20249694002.0,0.13,7.5,0.01,1.7,27.58
18525399202.0,0.15,7.9,0.01,1.7,26.74
17609048822.0,0.14,7.5,0.01,1.5,25.9
18920840000.0,0.16,7.6,0.01,1.5,26.4
22278423077.0,0.17,8.9,0.01,1.7,26.9
21774033333.0,0.19,9.7,0.01,1.8,27.53333333333333
24298032258.0,0.21,10.6,0.01,1.8,28.166666666666668
26579005760.0,0.23,10.9,0.01,1.8,28.8
28781714764.0,0.25,11.8,0.01,1.9,28.400000000000002
31598341234.0,0.27,12.8,0.01,1.9,28.0
30957483950.0,0.26,12.0,0.01,1.7,27.6
31708874594.0,0.28,13.1,0.01,1.9,28.925
33166519418.0,0.31,14.1,0.01,2.2,30.25
33768660883.0,0.33,14.8,0.01,2.2,31.575
37939748769.0,0.39,18.2,0.01,2.9,32.9
46438484108.0,0.4,18.4,0.01,3.0,33.0
48244309133.0,0.42,20.8,0.01,3.4,33.1
49984559471.0,0.45,21.1,0.01,3.8,33.199999999999996
51270569884.0,0.46,21.9,0.01,3.4,33.3
53369787319.0,0.49,23.5,0.01,3.3,33.4
53991289844.0,0.56,27.7,0.01,4.0,33.36
54724081491.0,0.58,29.7,0.02,4.0,33.32
60158929188.0,0.61,30.8,0.01,4.1,33.28
65108544250.0,0.63,33.0,0.01,3.9,33.24
69442943089.0,0.68,36.4,0.03,3.9,33.2
71819083684.0,0.74,40.4,0.05,3.9,32.980000000000004
79611888213.0,0.76,40.8,0.04,3.7,32.760000000000005
91631278239.0,0.8,44.2,0.04,3.8,32.54
102478000000.0,0.88,49.2,0.05,3.5,32.32
115279000000.0,0.9,50.6,0.03,3.9,32.1
128638000000.0,0.98,56.5,0.05,5.1,32.15
133356000000.0,1.05,60.4,0.04,5.4,32.2
149990000000.0,1.08,62.7,0.05,5.3,32.25
172885000000.0,1.12,65.4,0.03,6.0,32.3
195079000000.0,1.31,78.1,0.09,6.3,32.35
221415000000.0,1.33,79.2,0.07,7.0,32.4
249711000000.0,1.38,83.1,0.08,7.8,32.449999999999996
274039000000.0,1.47,89.3,0.09,8.9,32.5
302571000000.0,1.64,100.6,0.14,8.8,32.55
323057000000.0,1.59,98.0,0.15,7.7,32.6
90950278258.0,6.52,446.9,2.04,87.9,32.65
105628000000.0,7.2,492.8,2.17,100.0,32.699999999999996
123782000000.0,8.25,578.2,2.39,123.0,32.75
146601000000.0,9.2,641.6,2.46,142.7,32.8
172204000000.0,10.49,731.5,2.62,169.1,32.85
212609000000.0,11.73,810.5,2.53,199.2,32.9
240152000000.0,12.49,845.3,2.3,219.8,32.949999999999996
318031000000.0,13.08,880.9,2.24,234.5,33.0
432083000000.0,14.53,995.0,2.37,269.2,33.05
479626000000.0,14.59,985.7,2.51,259.0,33.1
521542000000.0,13.93,923.6,2.35,244.1,33.15
586162000000.0,14.44,951.2,2.3,253.5,33.199999999999996
721412000000.0,14.55,960.7,2.17,260.5,33.25
1013610000000.0,15.16,924.3,1.96,266.5,33.3
1055010000000.0,15.75,949.7,2.1,269.1,33.35
1105390000000.0,15.28,920.7,2.44,241.4,33.4
1218990000000.0,15.06,914.7,2.73,227.7,33.449999999999996
1134520000000.0,14.47,863.6,2.61,211.6,33.5
1243320000000.0,14.66,864.0,2.57,211.3,33.55
1318380000000.0,15.92,952.6,2.87,222.0,33.599999999999994
